areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,cumPeopleVaccinatedFirstDoseByPublishDate,newVirusTestsByPublishDate
K02000001,United Kingdom,overview,07/04/2022,21508546,169757,52873079,485879
K02000001,United Kingdom,overview,06/04/2022,21461556,169705,52861739,528405
K02000001,United Kingdom,overview,05/04/2022,21410305,169542,52849370,540100
K02000001,United Kingdom,overview,04/04/2022,21359681,169356,52837997,563343
K02000001,United Kingdom,overview,03/04/2022,21216874,169162,52826860,497415
K02000001,United Kingdom,overview,02/04/2022,21216874,168959,52819360,428278
K02000001,United Kingdom,overview,01/04/2022,21216874,168733,52808470,585806
K02000001,United Kingdom,overview,31/03/2022,21147425,168499,52803478,634843
K02000001,United Kingdom,overview,30/03/2022,21073009,168262,52798443,718916
K02000001,United Kingdom,overview,29/03/2022,20986171,168039,52792930,720239
K02000001,United Kingdom,overview,28/03/2022,20905515,167802,52788065,722535
K02000001,United Kingdom,overview,27/03/2022,20691123,167594,52783242,632929
K02000001,United Kingdom,overview,26/03/2022,20691123,167372,52775615,552604
K02000001,United Kingdom,overview,25/03/2022,20691123,167161,52764899,689444
K02000001,United Kingdom,overview,24/03/2022,20613817,166938,52759213,736666
K02000001,United Kingdom,overview,23/03/2022,20515998,166730,52754119,821356
K02000001,United Kingdom,overview,22/03/2022,20413731,166528,52756382,797289
K02000001,United Kingdom,overview,21/03/2022,20319434,166301,52751751,793566
K02000001,United Kingdom,overview,20/03/2022,20093762,166121,52747246,650171
K02000001,United Kingdom,overview,19/03/2022,20093762,165918,52740240,586163
K02000001,United Kingdom,overview,18/03/2022,20093762,165726,52730003,713323
K02000001,United Kingdom,overview,17/03/2022,20001627,165521,52725660,775884
K02000001,United Kingdom,overview,16/03/2022,19911155,165334,52721459,825137
K02000001,United Kingdom,overview,15/03/2022,19820181,165150,52717450,774243
K02000001,United Kingdom,overview,14/03/2022,19700952,164995,52713188,811934
K02000001,United Kingdom,overview,13/03/2022,19530485,164809,52708425,585290
K02000001,United Kingdom,overview,12/03/2022,19530485,164656,52704574,553597
K02000001,United Kingdom,overview,11/03/2022,19530485,164512,52696527,670955
K02000001,United Kingdom,overview,10/03/2022,19457976,164369,52692089,727243
K02000001,United Kingdom,overview,09/03/2022,19373884,164216,52687324,744463
K02000001,United Kingdom,overview,08/03/2022,19307014,164073,52682128,705717
K02000001,United Kingdom,overview,07/03/2022,19245301,163926,52677564,713449
K02000001,United Kingdom,overview,06/03/2022,19119181,163777,52672968,565744
K02000001,United Kingdom,overview,05/03/2022,19119181,163647,52668909,490218
K02000001,United Kingdom,overview,04/03/2022,19119181,163520,52660741,606980
K02000001,United Kingdom,overview,03/03/2022,19074696,163387,52654053,664480
K02000001,United Kingdom,overview,02/03/2022,19029321,163230,52647706,702451
K02000001,United Kingdom,overview,01/03/2022,18985568,163069,52640258,649222
K02000001,United Kingdom,overview,28/02/2022,18886701,162936,52634448,696060
K02000001,United Kingdom,overview,27/02/2022,18804765,162791,52628660,534807
K02000001,United Kingdom,overview,26/02/2022,18804765,162655,52623819,495022
K02000001,United Kingdom,overview,25/02/2022,18804765,162521,52614348,612503
K02000001,United Kingdom,overview,24/02/2022,18773164,162376,52606239,685308
K02000001,United Kingdom,overview,23/02/2022,18734683,162209,52598276,760377
K02000001,United Kingdom,overview,22/02/2022,18695448,162063,52589291,734238
K02000001,United Kingdom,overview,21/02/2022,18654572,161924,52581000,816387
K02000001,United Kingdom,overview,20/02/2022,18616433,161779,52573589,703991
K02000001,United Kingdom,overview,19/02/2022,18585423,161615,52568119,584374
K02000001,United Kingdom,overview,18/02/2022,18546205,161459,52557346,700343
K02000001,United Kingdom,overview,17/02/2022,18499058,161303,52551460,900352
K02000001,United Kingdom,overview,16/02/2022,18447706,161143,52542206,976068
K02000001,United Kingdom,overview,15/02/2022,18393951,160974,52531292,887061
K02000001,United Kingdom,overview,14/02/2022,18348029,160800,52522201,888781
K02000001,United Kingdom,overview,13/02/2022,18306704,160610,52514094,784455
K02000001,United Kingdom,overview,12/02/2022,18265918,160436,52506600,724233
K02000001,United Kingdom,overview,11/02/2022,18220515,160271,52491419,920402
K02000001,United Kingdom,overview,10/02/2022,18162199,160107,52480344,1041542
K02000001,United Kingdom,overview,09/02/2022,18000119,159926,52468730,1170469
K02000001,United Kingdom,overview,08/02/2022,17932803,159747,52458207,1074033
K02000001,United Kingdom,overview,07/02/2022,17866632,159558,52447403,1127178
K02000001,United Kingdom,overview,06/02/2022,17809459,159378,52437297,1006934
K02000001,United Kingdom,overview,05/02/2022,17752892,159170,52428976,851992
K02000001,United Kingdom,overview,04/02/2022,17689885,158951,52414182,1061456
K02000001,United Kingdom,overview,03/02/2022,17607832,158756,52399031,1224823
K02000001,United Kingdom,overview,02/02/2022,17519708,158527,52385688,1337828
K02000001,United Kingdom,overview,01/02/2022,17428345,158278,52373222,1186209
K02000001,United Kingdom,overview,31/01/2022,17315893,158014,52360487,1217791
K02000001,United Kingdom,overview,30/01/2022,16478467,157756,52345158,1128019
K02000001,United Kingdom,overview,29/01/2022,16409459,157512,52333474,932921
K02000001,United Kingdom,overview,28/01/2022,16333980,157251,52314528,1159743
K02000001,United Kingdom,overview,27/01/2022,16245474,156994,52297579,1285156
K02000001,United Kingdom,overview,26/01/2022,16149319,156693,52281873,1446064
K02000001,United Kingdom,overview,25/01/2022,16047716,156429,52266515,1272805
K02000001,United Kingdom,overview,24/01/2022,15953685,156184,52252579,1335199
K02000001,United Kingdom,overview,23/01/2022,15866316,155904,52236574,1229253
K02000001,United Kingdom,overview,22/01/2022,15787937,155648,52224308,1044760
K02000001,United Kingdom,overview,21/01/2022,15709059,155366,52203930,1219812
K02000001,United Kingdom,overview,20/01/2022,15613283,155059,52186398,1370093
K02000001,United Kingdom,overview,19/01/2022,15506750,154803,52168592,1539546
K02000001,United Kingdom,overview,18/01/2022,15399300,154522,52151643,1307692
K02000001,United Kingdom,overview,17/01/2022,15305410,154235,52133611,1363401
K02000001,United Kingdom,overview,16/01/2022,15221366,153939,52117863,1274369
K02000001,United Kingdom,overview,15/01/2022,15147099,153646,52100163,1081339
K02000001,United Kingdom,overview,14/01/2022,15066395,153351,52072754,1259347
K02000001,United Kingdom,overview,13/01/2022,14967817,153071,52051876,1413468
K02000001,United Kingdom,overview,12/01/2022,14862138,152787,52031355,1578651
K02000001,United Kingdom,overview,11/01/2022,14732594,152527,52011835,1412109
K02000001,United Kingdom,overview,10/01/2022,14617314,152258,51992559,1617386
K02000001,United Kingdom,overview,09/01/2022,14475192,151980,51974605,1657739
K02000001,United Kingdom,overview,08/01/2022,14333794,151708,51952400,1325989
K02000001,United Kingdom,overview,07/01/2022,14193228,151466,51920711,1604626
K02000001,United Kingdom,overview,06/01/2022,14015065,151216,51897289,1820674
K02000001,United Kingdom,overview,05/01/2022,13835334,150959,51874548,2031729
K02000001,United Kingdom,overview,04/01/2022,13641520,150746,51845518,2050101
K02000001,United Kingdom,overview,03/01/2022,13422815,150526,51820652,1703612
K02000001,United Kingdom,overview,02/01/2022,13266431,150347,51801494,1372758
K02000001,United Kingdom,overview,01/01/2022,13117469,150170,51789045,1029656
K02000001,United Kingdom,overview,31/12/2021,12937886,149989,51786768,1668014
K02000001,United Kingdom,overview,30/12/2021,12748050,149820,51771384,1507040
K02000001,United Kingdom,overview,29/12/2021,12559926,149630,51738013,1498207
K02000001,United Kingdom,overview,28/12/2021,12377822,149505,51705406,1476216
K02000001,United Kingdom,overview,27/12/2021,12239797,149337,51681547,1279834
K02000001,United Kingdom,overview,26/12/2021,12132098,149195,51663356,1277701
K02000001,United Kingdom,overview,25/12/2021,12013153,149079,51661421,1197192
K02000001,United Kingdom,overview,24/12/2021,11891292,148972,51660466,1614490
K02000001,United Kingdom,overview,23/12/2021,11769921,148845,51649696,1623996
K02000001,United Kingdom,overview,22/12/2021,11647473,148714,51617091,1648679
K02000001,United Kingdom,overview,21/12/2021,11542143,148588,51577782,1490061
K02000001,United Kingdom,overview,20/12/2021,11453121,148488,51537827,1491030
K02000001,United Kingdom,overview,19/12/2021,11361387,148364,51498034,1468502
K02000001,United Kingdom,overview,18/12/2021,11279428,148262,51464883,1406561
K02000001,United Kingdom,overview,17/12/2021,11190354,148154,51426554,1578141
K02000001,United Kingdom,overview,16/12/2021,11097851,148026,51393664,1598910
K02000001,United Kingdom,overview,15/12/2021,11010286,147921,51360987,1635922
K02000001,United Kingdom,overview,14/12/2021,10932545,147808,51332920,1319891
K02000001,United Kingdom,overview,13/12/2021,10873468,147680,51298838,1307252
K02000001,United Kingdom,overview,12/12/2021,10819515,147576,51279167,1259313
K02000001,United Kingdom,overview,11/12/2021,10771444,147455,51255850,1012792
K02000001,United Kingdom,overview,10/12/2021,10719165,147359,51229559,1196510
